number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
380,-0.3585951985611183,2026-02-27 15:43:30.669624,2026-02-27 15:43:36.657691,0 days 00:00:05.988067,39,1,3,9389,COMPLETE
381,-0.3955323418422981,2026-02-27 15:43:36.685898,2026-02-27 15:43:42.459375,0 days 00:00:05.773477,37,3,2,9123,COMPLETE
382,-0.3563971953943681,2026-02-27 15:43:42.488066,2026-02-27 15:43:48.372680,0 days 00:00:05.884614,40,1,2,9169,COMPLETE
383,-0.37771402723666614,2026-02-27 15:43:48.393122,2026-02-27 15:43:54.193322,0 days 00:00:05.800200,38,2,3,9148,COMPLETE
384,-0.3563952563769791,2026-02-27 15:43:54.214620,2026-02-27 15:44:00.340951,0 days 00:00:06.126331,40,1,2,9571,COMPLETE
385,-0.35630472082458214,2026-02-27 15:44:00.361619,2026-02-27 15:44:06.578183,0 days 00:00:06.216564,39,1,2,9764,COMPLETE
386,-0.37774761989501204,2026-02-27 15:44:06.605889,2026-02-27 15:44:12.723824,0 days 00:00:06.117935,39,2,2,9635,COMPLETE
387,-0.35861389429529106,2026-02-27 15:44:12.751898,2026-02-27 15:44:18.883190,0 days 00:00:06.131292,38,1,3,9657,COMPLETE
388,-0.35641392822113666,2026-02-27 15:44:18.911919,2026-02-27 15:44:24.833020,0 days 00:00:05.921101,39,1,2,9185,COMPLETE
389,-0.3974332577663981,2026-02-27 15:44:24.853164,2026-02-27 15:44:30.804914,0 days 00:00:05.951750,39,1,12,9314,COMPLETE
390,-0.37773880830016476,2026-02-27 15:44:30.825665,2026-02-27 15:44:36.692570,0 days 00:00:05.866905,40,2,2,9224,COMPLETE
391,-0.3566423262031832,2026-02-27 15:44:36.722048,2026-02-27 15:44:42.475539,0 days 00:00:05.753491,39,1,2,9014,COMPLETE
392,-0.35884728563473844,2026-02-27 15:44:42.504963,2026-02-27 15:44:48.227113,0 days 00:00:05.722150,39,1,3,9026,COMPLETE
393,-0.3563863532648071,2026-02-27 15:44:48.255534,2026-02-27 15:44:54.359632,0 days 00:00:06.104098,37,1,2,9623,COMPLETE
394,-0.3566871707511111,2026-02-27 15:44:54.384713,2026-02-27 15:44:59.946579,0 days 00:00:05.561866,35,1,2,8725,COMPLETE
395,-0.37773048969679457,2026-02-27 15:44:59.964074,2026-02-27 15:45:06.185455,0 days 00:00:06.221381,35,2,4,9643,COMPLETE
396,-0.35635362892008554,2026-02-27 15:45:06.202933,2026-02-27 15:45:12.473636,0 days 00:00:06.270703,37,1,2,9819,COMPLETE
397,-0.3586095769106287,2026-02-27 15:45:12.501492,2026-02-27 15:45:18.783701,0 days 00:00:06.282209,37,1,3,9854,COMPLETE
398,-0.3777518613453381,2026-02-27 15:45:18.811617,2026-02-27 15:45:24.860432,0 days 00:00:06.048815,36,2,2,9534,COMPLETE
399,-0.35664831961249127,2026-02-27 15:45:24.875249,2026-02-27 15:45:30.515211,0 days 00:00:05.639962,38,1,2,8774,COMPLETE
400,-0.3566576947741094,2026-02-27 15:45:30.535261,2026-02-27 15:45:36.133476,0 days 00:00:05.598215,37,1,2,8707,COMPLETE
401,-0.35886850312579177,2026-02-27 15:45:36.154114,2026-02-27 15:45:41.808539,0 days 00:00:05.654425,34,1,3,8751,COMPLETE
402,-0.41782628315653925,2026-02-27 15:45:41.829817,2026-02-27 15:45:48.086966,0 days 00:00:06.257149,37,7,2,9985,COMPLETE
403,-0.4260499153014945,2026-02-27 15:45:48.104596,2026-02-27 15:45:53.862489,0 days 00:00:05.757893,40,2,18,9069,COMPLETE
404,-0.4758480771856063,2026-02-27 15:45:53.890454,2026-02-27 15:45:59.751666,0 days 00:00:05.861212,36,12,2,9292,COMPLETE
405,-0.3588280706766055,2026-02-27 15:45:59.777866,2026-02-27 15:46:05.287643,0 days 00:00:05.509777,39,1,3,8625,COMPLETE
406,-0.3567256317723887,2026-02-27 15:46:05.312360,2026-02-27 15:46:10.988902,0 days 00:00:05.676542,41,1,2,8960,COMPLETE
407,-0.37795848001242066,2026-02-27 15:46:11.016672,2026-02-27 15:46:16.736000,0 days 00:00:05.719328,40,2,2,8898,COMPLETE
408,-0.35638192658647805,2026-02-27 15:46:16.757005,2026-02-27 15:46:22.686326,0 days 00:00:05.929321,38,1,2,9191,COMPLETE
409,-0.35638395690910385,2026-02-27 15:46:22.707376,2026-02-27 15:46:28.521833,0 days 00:00:05.814457,37,1,2,9136,COMPLETE
410,-0.37774478607808765,2026-02-27 15:46:28.547860,2026-02-27 15:46:34.434289,0 days 00:00:05.886429,37,2,3,9209,COMPLETE
411,-0.3562715436015569,2026-02-27 15:46:34.462091,2026-02-27 15:46:40.657817,0 days 00:00:06.195726,38,1,2,9702,COMPLETE
412,-0.3614048284393329,2026-02-27 15:46:40.674701,2026-02-27 15:46:46.879573,0 days 00:00:06.204872,36,1,4,9753,COMPLETE
413,-0.37779351834582564,2026-02-27 15:46:46.899897,2026-02-27 15:46:52.996474,0 days 00:00:06.096577,38,2,2,9505,COMPLETE
414,-0.3588710288923006,2026-02-27 15:46:53.016561,2026-02-27 15:46:58.801767,0 days 00:00:05.785206,37,1,3,9014,COMPLETE
415,-0.35627338231225636,2026-02-27 15:46:58.829628,2026-02-27 15:47:04.783229,0 days 00:00:05.953601,35,1,2,9317,COMPLETE
416,-0.3777202336719069,2026-02-27 15:47:04.810873,2026-02-27 15:47:10.815936,0 days 00:00:06.005063,35,2,2,9378,COMPLETE
417,-0.3562855433807358,2026-02-27 15:47:10.833621,2026-02-27 15:47:17.040681,0 days 00:00:06.207060,37,1,2,9736,COMPLETE
418,-0.35856190525497855,2026-02-27 15:47:17.069270,2026-02-27 15:47:23.452044,0 days 00:00:06.382774,34,1,3,9722,COMPLETE
419,-0.35636125221361,2026-02-27 15:47:23.472233,2026-02-27 15:47:29.536674,0 days 00:00:06.064441,38,1,2,9515,COMPLETE
420,-0.3777915844409326,2026-02-27 15:47:29.556875,2026-02-27 15:47:35.660100,0 days 00:00:06.103225,38,2,2,9586,COMPLETE
421,-0.3562978415132838,2026-02-27 15:47:35.688728,2026-02-27 15:47:41.697005,0 days 00:00:06.008277,37,1,2,9276,COMPLETE
422,-0.3585819496983115,2026-02-27 15:47:41.725084,2026-02-27 15:47:47.620123,0 days 00:00:05.895039,35,1,3,9260,COMPLETE
423,-0.3777310683983446,2026-02-27 15:47:47.648067,2026-02-27 15:47:53.713813,0 days 00:00:06.065746,37,2,2,9439,COMPLETE
424,-0.3585687369696813,2026-02-27 15:47:53.730455,2026-02-27 15:48:00.018638,0 days 00:00:06.288183,37,1,3,9791,COMPLETE
425,-0.35646314778689137,2026-02-27 15:48:00.039375,2026-02-27 15:48:05.888995,0 days 00:00:05.849620,36,1,2,9100,COMPLETE
426,-0.356631291833973,2026-02-27 15:48:05.917118,2026-02-27 15:48:11.701535,0 days 00:00:05.784417,36,1,2,9041,COMPLETE
427,-0.37778651225752513,2026-02-27 15:48:11.721318,2026-02-27 15:48:17.548838,0 days 00:00:05.827520,34,2,2,9096,COMPLETE
428,-0.35852407940477715,2026-02-27 15:48:17.577693,2026-02-27 15:48:24.003431,0 days 00:00:06.425738,36,1,3,9978,COMPLETE
429,-0.3563109045655216,2026-02-27 15:48:24.023874,2026-02-27 15:48:29.954649,0 days 00:00:05.930775,36,1,2,9272,COMPLETE
430,-0.377681284265763,2026-02-27 15:48:29.975737,2026-02-27 15:48:35.873340,0 days 00:00:05.897603,35,2,2,9247,COMPLETE
431,-0.35868730214594235,2026-02-27 15:48:35.893324,2026-02-27 15:48:42.070287,0 days 00:00:06.176963,36,1,3,9493,COMPLETE
432,-0.3562920597956733,2026-02-27 15:48:42.099442,2026-02-27 15:48:48.075129,0 days 00:00:05.975687,37,1,2,9326,COMPLETE
433,-0.3955628348742005,2026-02-27 15:48:48.095820,2026-02-27 15:48:54.262716,0 days 00:00:06.166896,37,3,2,9648,COMPLETE
434,-0.35632633881795833,2026-02-27 15:48:54.283598,2026-02-27 15:49:00.301513,0 days 00:00:06.017915,36,1,2,9401,COMPLETE
435,-0.37771438118124456,2026-02-27 15:49:00.321964,2026-02-27 15:49:06.332294,0 days 00:00:06.010330,36,2,3,9385,COMPLETE
436,-0.37220550899507493,2026-02-27 15:49:06.352523,2026-02-27 15:49:12.277986,0 days 00:00:05.925463,37,1,8,9279,COMPLETE
437,-0.4426422050864538,2026-02-27 15:49:12.305802,2026-02-27 15:49:18.313817,0 days 00:00:06.008015,36,10,2,9538,COMPLETE
438,-0.35632960733702396,2026-02-27 15:49:18.339114,2026-02-27 15:49:24.578022,0 days 00:00:06.238908,38,1,2,9811,COMPLETE
439,-0.37768971605337354,2026-02-27 15:49:24.605974,2026-02-27 15:49:30.883755,0 days 00:00:06.277781,38,2,2,9818,COMPLETE
440,-0.3955351516694715,2026-02-27 15:49:30.904131,2026-02-27 15:49:36.719970,0 days 00:00:05.815839,34,3,3,9144,COMPLETE
441,-0.35628270826145536,2026-02-27 15:49:36.740329,2026-02-27 15:49:42.885041,0 days 00:00:06.144712,37,1,2,9669,COMPLETE
442,-0.35628113634050146,2026-02-27 15:49:42.914310,2026-02-27 15:49:49.124130,0 days 00:00:06.209820,37,1,2,9724,COMPLETE
443,-0.35860038253531956,2026-02-27 15:49:49.142525,2026-02-27 15:49:55.330834,0 days 00:00:06.188309,36,1,3,9741,COMPLETE
444,-0.3777862594468788,2026-02-27 15:49:55.348722,2026-02-27 15:50:01.527380,0 days 00:00:06.178658,35,2,2,9554,COMPLETE
445,-0.3563430955492944,2026-02-27 15:50:01.541520,2026-02-27 15:50:07.899715,0 days 00:00:06.358195,36,1,2,9919,COMPLETE
446,-0.3585349170739395,2026-02-27 15:50:07.927907,2026-02-27 15:50:14.447928,0 days 00:00:06.520021,36,1,3,9970,COMPLETE
447,-0.3562901108105593,2026-02-27 15:50:14.476975,2026-02-27 15:50:20.737660,0 days 00:00:06.260685,33,1,2,9725,COMPLETE
448,-0.3938791764192563,2026-02-27 15:50:20.766577,2026-02-27 15:50:26.976744,0 days 00:00:06.210167,37,2,10,9811,COMPLETE
449,-0.35628270826145536,2026-02-27 15:50:26.997187,2026-02-27 15:50:33.188998,0 days 00:00:06.191811,33,1,2,9669,COMPLETE
450,-0.37772129882762673,2026-02-27 15:50:33.208673,2026-02-27 15:50:39.396941,0 days 00:00:06.188268,32,2,2,9708,COMPLETE
451,-0.3585349170739395,2026-02-27 15:50:39.424995,2026-02-27 15:50:45.777609,0 days 00:00:06.352614,31,1,3,9970,COMPLETE
452,-0.356370755134932,2026-02-27 15:50:45.806519,2026-02-27 15:50:51.866148,0 days 00:00:06.059629,34,1,2,9486,COMPLETE
453,-0.3777014743835568,2026-02-27 15:50:51.886842,2026-02-27 15:50:57.995104,0 days 00:00:06.108262,33,2,2,9680,COMPLETE
454,-0.3585997816166495,2026-02-27 15:50:58.012761,2026-02-27 15:51:04.026957,0 days 00:00:06.014196,32,1,3,9411,COMPLETE
455,-0.40835082681912205,2026-02-27 15:51:04.044008,2026-02-27 15:51:10.228251,0 days 00:00:06.184243,35,4,2,9801,COMPLETE
456,-0.3563702366436766,2026-02-27 15:51:10.245076,2026-02-27 15:51:16.300880,0 days 00:00:06.055804,34,1,2,9485,COMPLETE
457,-0.3563546629132931,2026-02-27 15:51:16.329526,2026-02-27 15:51:22.462373,0 days 00:00:06.132847,34,1,2,9592,COMPLETE
458,-0.5415267831218575,2026-02-27 15:51:22.480873,2026-02-27 15:51:28.224479,0 days 00:00:05.743606,33,13,3,9596,COMPLETE
459,-0.3777162318549413,2026-02-27 15:51:28.244983,2026-02-27 15:51:34.266645,0 days 00:00:06.021662,34,2,2,9435,COMPLETE
460,-0.3563429725263151,2026-02-27 15:51:34.294829,2026-02-27 15:51:40.661320,0 days 00:00:06.366491,32,1,2,9986,COMPLETE
461,-0.4124229905609692,2026-02-27 15:51:40.689498,2026-02-27 15:51:47.006232,0 days 00:00:06.316734,32,5,3,9902,COMPLETE
462,-0.6672616789149654,2026-02-27 15:51:47.032976,2026-02-27 15:51:52.574668,0 days 00:00:05.541692,34,17,2,9737,COMPLETE
463,-0.3563228188546906,2026-02-27 15:51:52.591042,2026-02-27 15:51:58.997114,0 days 00:00:06.406072,30,1,2,9968,COMPLETE
464,-0.37771678076381326,2026-02-27 15:51:59.018223,2026-02-27 15:52:05.348022,0 days 00:00:06.329799,29,2,2,9977,COMPLETE
465,-0.35633319743433745,2026-02-27 15:52:05.372827,2026-02-27 15:52:11.737076,0 days 00:00:06.364249,30,1,2,9990,COMPLETE
466,-0.3913021372654185,2026-02-27 15:52:11.754449,2026-02-27 15:52:17.938196,0 days 00:00:06.183747,27,1,11,9836,COMPLETE
467,-0.3776905161527724,2026-02-27 15:58:12.846512,2026-02-27 15:58:19.905468,0 days 00:00:07.058956,30,2,3,9988,COMPLETE
468,-0.3632836157616016,2026-02-27 15:58:19.932850,2026-02-27 15:58:26.592788,0 days 00:00:06.659938,30,1,5,9743,COMPLETE
469,-0.3563676384963538,2026-02-27 15:58:26.610882,2026-02-27 15:58:33.187718,0 days 00:00:06.576836,33,1,2,9448,COMPLETE
470,-0.3679421401724274,2026-02-27 15:58:33.205359,2026-02-27 15:58:39.750550,0 days 00:00:06.545191,32,1,7,9444,COMPLETE
471,-0.4359854505354712,2026-02-27 15:58:39.770601,2026-02-27 15:58:46.469580,0 days 00:00:06.698979,33,9,2,9770,COMPLETE
472,-0.35865557162698625,2026-02-27 15:58:46.493123,2026-02-27 15:58:53.161736,0 days 00:00:06.668613,30,1,3,9582,COMPLETE
473,-0.3777194450629139,2026-02-27 15:58:53.182595,2026-02-27 15:58:59.893268,0 days 00:00:06.710673,28,2,2,9831,COMPLETE
474,-0.3563399360737305,2026-02-27 15:58:59.914362,2026-02-27 15:59:05.930191,0 days 00:00:06.015829,32,1,2,9396,COMPLETE
475,-0.35632539233105087,2026-02-27 15:59:05.959050,2026-02-27 15:59:12.291535,0 days 00:00:06.332485,32,1,2,9970,COMPLETE
476,-0.35854876387569734,2026-02-27 15:59:12.311710,2026-02-27 15:59:18.640632,0 days 00:00:06.328922,33,1,3,9926,COMPLETE
477,-0.3777010784875367,2026-02-27 15:59:18.666762,2026-02-27 15:59:25.073938,0 days 00:00:06.407176,32,2,2,9990,COMPLETE
478,-0.4521309915797648,2026-02-27 15:59:25.101441,2026-02-27 15:59:31.135095,0 days 00:00:06.033654,31,11,3,9671,COMPLETE
479,-0.4257796793712174,2026-02-27 15:59:31.151918,2026-02-27 15:59:37.419225,0 days 00:00:06.267307,33,8,4,9999,COMPLETE
480,-0.3563520731443129,2026-02-27 15:59:37.439535,2026-02-27 15:59:43.443543,0 days 00:00:06.004008,34,1,2,9422,COMPLETE
481,-0.3777244554911911,2026-02-27 15:59:43.464225,2026-02-27 15:59:49.447336,0 days 00:00:05.983111,31,2,2,9362,COMPLETE
482,-0.35628692927800715,2026-02-27 15:59:49.475527,2026-02-27 15:59:55.665318,0 days 00:00:06.189791,34,1,2,9731,COMPLETE
483,-0.3585817219197559,2026-02-27 15:59:55.693881,2026-02-27 16:00:01.932826,0 days 00:00:06.238945,31,1,3,9733,COMPLETE
484,-0.3776992441484698,2026-02-27 16:00:01.953985,2026-02-27 16:00:08.298003,0 days 00:00:06.344018,32,2,2,9779,COMPLETE
485,-0.35625186687253235,2026-02-27 16:00:08.318188,2026-02-27 16:00:14.763384,0 days 00:00:06.445196,33,1,2,9691,COMPLETE
486,-0.3585803069392839,2026-02-27 16:00:14.784349,2026-02-27 16:00:21.089324,0 days 00:00:06.304975,34,1,3,9709,COMPLETE
487,-0.37769634003928715,2026-02-27 16:00:21.109963,2026-02-27 16:00:27.333068,0 days 00:00:06.223105,29,2,2,9820,COMPLETE
488,-0.35632674048497204,2026-02-27 16:00:27.360602,2026-02-27 16:00:33.748386,0 days 00:00:06.387784,32,1,2,9980,COMPLETE
489,-0.3563341083223367,2026-02-27 16:00:33.769138,2026-02-27 16:00:40.152313,0 days 00:00:06.383175,32,1,2,9983,COMPLETE
490,-0.3777136203399724,2026-02-27 16:00:40.180015,2026-02-27 16:00:46.568782,0 days 00:00:06.388767,32,2,3,9963,COMPLETE
491,-0.35632674048497204,2026-02-27 16:00:46.597656,2026-02-27 16:00:52.950411,0 days 00:00:06.352755,30,1,2,9980,COMPLETE
492,-0.35633444535865294,2026-02-27 16:00:52.977934,2026-02-27 16:00:59.352652,0 days 00:00:06.374718,29,1,2,9984,COMPLETE
493,-0.35631950295880105,2026-02-27 16:00:59.371054,2026-02-27 16:01:05.786443,0 days 00:00:06.415389,29,1,2,9994,COMPLETE
494,-0.37770668453196865,2026-02-27 16:01:05.814642,2026-02-27 16:01:12.151554,0 days 00:00:06.336912,28,2,3,9975,COMPLETE
495,-0.35631047660279586,2026-02-27 16:01:12.168390,2026-02-27 16:01:18.389695,0 days 00:00:06.221305,30,1,2,9759,COMPLETE
496,-0.3562652195849474,2026-02-27 16:01:18.409639,2026-02-27 16:01:24.630346,0 days 00:00:06.220707,30,1,2,9722,COMPLETE
497,-0.37770710522553186,2026-02-27 16:01:24.647472,2026-02-27 16:01:30.800898,0 days 00:00:06.153426,29,2,2,9741,COMPLETE
498,-0.3585635685700577,2026-02-27 16:01:30.825324,2026-02-27 16:01:36.907897,0 days 00:00:06.082573,30,1,3,9691,COMPLETE
499,-0.41145419068039624,2026-02-27 16:01:36.933479,2026-02-27 16:01:43.132595,0 days 00:00:06.199116,30,1,15,9790,COMPLETE
500,-0.6081888441317307,2026-03-31 18:53:36.872668,2026-03-31 18:53:43.715426,0 days 00:00:06.842758,26,1,9,9667,COMPLETE
501,-0.5735369946314117,2026-03-31 18:53:43.737810,2026-03-31 18:53:50.477520,0 days 00:00:06.739710,28,2,2,9817,COMPLETE
502,-0.5856803591335036,2026-03-31 18:53:50.507866,2026-03-31 18:53:57.216034,0 days 00:00:06.708168,29,6,2,9991,COMPLETE
503,-0.5981808174214331,2026-03-31 18:53:57.237471,2026-03-31 18:54:03.867813,0 days 00:00:06.630342,31,1,3,9649,COMPLETE
504,-0.5684712933088685,2026-03-31 18:54:03.889058,2026-03-31 18:54:10.568759,0 days 00:00:06.679701,30,3,2,9799,COMPLETE
505,-0.5979949102907895,2026-03-31 18:54:10.586497,2026-03-31 18:54:17.430326,0 days 00:00:06.843829,31,1,4,9978,COMPLETE
506,-0.5987849610225223,2026-03-31 18:54:17.447772,2026-03-31 18:54:23.984691,0 days 00:00:06.536919,27,1,2,9595,COMPLETE
507,-0.5979858703754234,2026-03-31 18:54:24.002411,2026-03-31 18:54:30.156585,0 days 00:00:06.154174,29,1,3,9691,COMPLETE
508,-0.5735442360609557,2026-03-31 18:54:30.225864,2026-03-31 18:54:36.629236,0 days 00:00:06.403372,30,2,2,9786,COMPLETE
509,-0.5983841027309198,2026-03-31 18:54:36.653140,2026-03-31 18:54:42.563838,0 days 00:00:05.910698,31,1,2,9355,COMPLETE
510,-0.597456512010531,2026-03-31 18:54:42.587633,2026-03-31 18:54:48.892226,0 days 00:00:06.304593,28,1,3,9999,COMPLETE
511,-0.573735156969711,2026-03-31 18:54:48.908751,2026-03-31 18:54:54.963300,0 days 00:00:06.054549,30,2,2,9618,COMPLETE
512,-0.5939347235013399,2026-03-31 18:54:54.980249,2026-03-31 18:55:01.223785,0 days 00:00:06.243536,29,7,2,9994,COMPLETE
513,-0.5738601728083641,2026-03-31 18:55:01.241513,2026-03-31 18:55:07.305745,0 days 00:00:06.064232,31,2,2,9562,COMPLETE
514,-0.5977254278455435,2026-03-31 18:55:07.323733,2026-03-31 18:55:13.713628,0 days 00:00:06.389895,29,1,3,9809,COMPLETE
515,-0.6088062028977286,2026-03-31 18:55:13.735416,2026-03-31 18:55:19.723637,0 days 00:00:05.988221,33,1,13,9317,COMPLETE
516,-0.5737559781242603,2026-03-31 18:55:19.746719,2026-03-31 18:55:25.812787,0 days 00:00:06.066068,30,2,2,9602,COMPLETE
517,-0.5983702561560333,2026-03-31 18:55:25.840801,2026-03-31 18:55:32.109049,0 days 00:00:06.268248,31,1,2,9787,COMPLETE
518,-0.6080981588028761,2026-03-31 18:55:32.129952,2026-03-31 18:55:38.320557,0 days 00:00:06.190605,35,1,12,9833,COMPLETE
519,-0.5982515890728246,2026-03-31 18:55:38.342077,2026-03-31 18:55:44.388703,0 days 00:00:06.046626,28,1,3,9549,COMPLETE
520,-0.5958588201688846,2026-03-31 18:55:44.409598,2026-03-31 18:55:50.274927,0 days 00:00:05.865329,33,1,18,9362,COMPLETE
521,-0.5734387006046537,2026-03-31 18:55:50.295487,2026-03-31 18:55:56.576661,0 days 00:00:06.281174,32,2,2,9981,COMPLETE
522,-0.5987316407050074,2026-03-31 18:55:56.605101,2026-03-31 18:56:02.975482,0 days 00:00:06.370381,35,1,2,9633,COMPLETE
523,-0.5734824659759817,2026-03-31 18:56:02.997722,2026-03-31 18:56:09.188071,0 days 00:00:06.190349,31,2,3,9831,COMPLETE
524,-0.5985160660590183,2026-03-31 18:56:09.207964,2026-03-31 18:56:15.204490,0 days 00:00:05.996526,29,1,2,9393,COMPLETE
525,-0.5685623654066604,2026-03-31 18:56:15.221795,2026-03-31 18:56:21.322081,0 days 00:00:06.100286,33,3,2,9660,COMPLETE
526,-0.5954955983372681,2026-03-31 18:56:21.348927,2026-03-31 18:56:27.478695,0 days 00:00:06.129768,32,1,20,9826,COMPLETE
527,-0.572122479323375,2026-03-31 18:56:27.506788,2026-03-31 18:56:30.719389,0 days 00:00:03.212601,26,2,2,4986,COMPLETE
528,-0.5983541801338201,2026-03-31 18:56:30.739973,2026-03-31 18:56:36.743081,0 days 00:00:06.003108,30,1,3,9519,COMPLETE
529,-0.5735664680831535,2026-03-31 18:56:36.763206,2026-03-31 18:56:42.658067,0 days 00:00:05.894861,35,2,2,9316,COMPLETE
530,-0.5975645386033593,2026-03-31 18:56:42.686779,2026-03-31 18:56:46.297954,0 days 00:00:03.611175,30,1,2,5601,COMPLETE
531,-0.6024526268270446,2026-03-31 18:56:46.319986,2026-03-31 18:56:52.491075,0 days 00:00:06.171089,27,1,6,9807,COMPLETE
532,-0.5987208645005856,2026-03-31 18:56:52.508682,2026-03-31 18:56:58.614893,0 days 00:00:06.106211,33,1,2,9620,COMPLETE
533,-0.5734377721177684,2026-03-31 18:56:58.635282,2026-03-31 18:57:04.973836,0 days 00:00:06.338554,31,2,3,9964,COMPLETE
534,-0.5986034091163879,2026-03-31 18:57:04.992649,2026-03-31 18:57:11.181173,0 days 00:00:06.188524,28,1,2,9686,COMPLETE
535,-0.5988643057472169,2026-03-31 18:57:11.199121,2026-03-31 18:57:17.216580,0 days 00:00:06.017459,32,1,2,9474,COMPLETE
536,-0.5974690921091759,2026-03-31 18:57:17.240827,2026-03-31 18:57:23.576214,0 days 00:00:06.335387,35,1,3,9973,COMPLETE
537,-0.5735635185766601,2026-03-31 18:57:23.594020,2026-03-31 18:57:29.469389,0 days 00:00:05.875369,34,2,2,9315,COMPLETE
538,-0.5982167374341537,2026-03-31 18:57:29.490387,2026-03-31 18:57:35.818923,0 days 00:00:06.328536,30,1,2,9994,COMPLETE
539,-0.5985211345016406,2026-03-31 18:57:35.845856,2026-03-31 18:57:42.021896,0 days 00:00:06.176040,31,1,2,9752,COMPLETE
540,-0.5737920932251258,2026-03-31 18:57:42.038856,2026-03-31 18:57:48.090094,0 days 00:00:06.051238,29,2,3,9589,COMPLETE
541,-0.5984882630177308,2026-03-31 18:57:48.107233,2026-03-31 18:57:54.347416,0 days 00:00:06.240183,33,1,2,9768,COMPLETE
542,-0.5734470799336213,2026-03-31 18:57:54.375359,2026-03-31 18:58:00.691834,0 days 00:00:06.316475,35,2,2,9996,COMPLETE
543,-0.5977362005888048,2026-03-31 18:58:00.712002,2026-03-31 18:58:06.653365,0 days 00:00:05.941363,33,1,3,9331,COMPLETE
544,-0.5982674316225298,2026-03-31 18:58:06.673657,2026-03-31 18:58:12.731585,0 days 00:00:06.057928,32,1,3,9542,COMPLETE
545,-0.5983886323346738,2026-03-31 18:58:12.759751,2026-03-31 18:58:18.992713,0 days 00:00:06.232962,31,1,2,9795,COMPLETE
546,-0.5739377588021114,2026-03-31 18:58:19.016944,2026-03-31 18:58:25.012459,0 days 00:00:05.995515,29,2,2,9543,COMPLETE
547,-0.5983217779585991,2026-03-31 18:58:25.036443,2026-03-31 18:58:31.269986,0 days 00:00:06.233543,35,1,2,9807,COMPLETE
548,-0.5985363956693357,2026-03-31 18:58:31.286914,2026-03-31 18:58:37.168654,0 days 00:00:05.881740,34,1,2,9292,COMPLETE
549,-0.5736985295784853,2026-03-31 18:58:37.192703,2026-03-31 18:58:43.305168,0 days 00:00:06.112465,36,2,2,9705,COMPLETE
550,-0.5982481338951843,2026-03-31 18:58:43.322290,2026-03-31 18:58:49.299028,0 days 00:00:05.976738,30,1,3,9480,COMPLETE
551,-0.5983835795071901,2026-03-31 18:58:49.319403,2026-03-31 18:58:55.573408,0 days 00:00:06.254005,31,1,2,9824,COMPLETE
552,-0.5737246992789373,2026-03-31 18:58:55.601896,2026-03-31 18:59:01.671932,0 days 00:00:06.070036,32,2,4,9642,COMPLETE
553,-0.5685779272221254,2026-03-31 18:59:01.689588,2026-03-31 18:59:07.579433,0 days 00:00:05.889845,29,3,2,9279,COMPLETE
554,-0.597714257830668,2026-03-31 18:59:07.600049,2026-03-31 18:59:13.751499,0 days 00:00:06.151450,28,1,3,9821,COMPLETE
555,-0.598172758967827,2026-03-31 18:59:13.780065,2026-03-31 18:59:20.167241,0 days 00:00:06.387176,36,1,2,9970,COMPLETE
556,-0.598850009253413,2026-03-31 18:59:20.193836,2026-03-31 18:59:26.180183,0 days 00:00:05.986347,15,1,2,9482,COMPLETE
557,-0.7237114986181737,2026-03-31 18:59:26.207813,2026-03-31 18:59:31.766201,0 days 00:00:05.558388,34,20,3,9659,COMPLETE
558,-0.5734634278411341,2026-03-31 18:59:31.780091,2026-03-31 18:59:38.075504,0 days 00:00:06.295413,32,2,2,9985,COMPLETE
559,-0.598684356963186,2026-03-31 18:59:38.099847,2026-03-31 18:59:44.085974,0 days 00:00:05.986127,30,1,2,9427,COMPLETE
560,-0.573417642097868,2026-03-31 18:59:44.103739,2026-03-31 18:59:50.428358,0 days 00:00:06.324619,33,2,3,10000,COMPLETE
561,-0.5985404915279416,2026-03-31 18:59:50.445980,2026-03-31 18:59:56.601099,0 days 00:00:06.155119,37,1,2,9700,COMPLETE
562,-0.5984323430617293,2026-03-31 18:59:56.625197,2026-03-31 19:00:02.588179,0 days 00:00:05.962982,35,1,2,9214,COMPLETE
563,-0.5988022162323674,2026-03-31 19:00:02.602856,2026-03-31 19:00:08.845014,0 days 00:00:06.242158,36,1,2,9573,COMPLETE
564,-0.5977519582817653,2026-03-31 19:00:08.862712,2026-03-31 19:00:15.258576,0 days 00:00:06.395864,31,1,3,9788,COMPLETE
565,-0.5734631710193995,2026-03-31 19:00:15.273270,2026-03-31 19:00:21.760002,0 days 00:00:06.486732,34,2,2,9993,COMPLETE
566,-0.5951515102565159,2026-03-31 19:00:21.777861,2026-03-31 19:00:27.701457,0 days 00:00:05.923596,27,1,19,9410,COMPLETE
567,-0.5981549887232522,2026-03-31 19:00:27.719496,2026-03-31 19:00:33.853226,0 days 00:00:06.133730,29,1,3,9641,COMPLETE
568,-0.5735443461024208,2026-03-31 19:00:33.870766,2026-03-31 19:00:40.084004,0 days 00:00:06.213238,33,2,2,9812,COMPLETE
569,-0.5984374201006046,2026-03-31 19:00:40.097239,2026-03-31 19:00:46.019625,0 days 00:00:05.922386,30,1,2,9230,COMPLETE
570,-0.6083618770309454,2026-03-31 19:00:46.034093,2026-03-31 19:00:52.127818,0 days 00:00:06.093725,35,1,9,9564,COMPLETE
